cas_number,name,ifra_naturals_category,category,description
78-70-6,Linalool,,Synthetic,Fresh floral lavender coriander note - widely used
106-24-1,Geraniol,,Synthetic,Rosy floral note - essential in perfumery
121-33-5,Vanillin,,Synthetic,Classic vanilla sweet note - bestseller
1222-05-5,Galaxolide (HHCB),,Synthetic,Clean musk note with excellent substantivity
5989-27-5,d-Limonene,,Synthetic,Fresh citrus orange note - top ingredient
140-11-4,Benzyl acetate,,Synthetic,Fruity jasmine pear note
5392-40-5,Citral,,Synthetic,Strong lemon citrus character
13171-00-1,Dihydromyrcenol,,Synthetic,Fresh lime citrus note
106-22-9,Citronellol,,Synthetic,Fresh rosy citrus note
115-95-7,Linalyl acetate,,Synthetic,Fresh bergamot lavender note
101-86-0,Hexyl cinnamaldehyde,,Synthetic,Sweet floral jasmine note
120-57-0,Piperonal,,Synthetic,Sweet vanilla heliotrope cherry note
98-55-5,Alpha-Terpineol,,Synthetic,Pine lilac citrus note
104-54-1,Cinnamyl alcohol,,Synthetic,Spicy cinnamon hyacinth balsamic note
103-95-7,Cyclamen aldehyde,,Synthetic,Floral aldehydic lily character
105-87-3,Geranyl acetate,,Synthetic,Fruity rosy lavender note
127-51-5,alpha-Isomethyl ionone,,Synthetic,Woody floral violet orris note
54464-57-2,Methyl dihydrojasmonate,,Synthetic,Floral jasmine hedione character
31906-04-4,Hydroxyisohexyl 3-cyclohexene carboxaldehyde,,Synthetic,Fresh floral muguet note
80-54-6,Butylphenyl Methylpropional (Lilial),,Synthetic,Floral lily of the valley note
6259-76-3,Hexyl salicylate,,Synthetic,Fresh green floral note
141-12-8,Neryl acetate,,Synthetic,Fresh floral citrus rose note
1205-17-0,alpha-Methylcinnamaldehyde,,Synthetic,Spicy cinnamon note
1341-27-1,Methyl cedryl ketone,,Synthetic,Woody cedar vetiver character
32210-23-4,4-tert-Butylcyclohexyl acetate,,Synthetic,Fruity woody note
8008-57-9,Orange oil sweet,G2.20,Citrus Oils,Sweet fresh orange character from citrus peel
8006-90-4,Peppermint oil,J2.17,Leaf Oils,Cool minty refreshing character - essential oil
8000-25-7,Rosemary oil,J2.15,Leaf Oils,Fresh herbaceous camphoraceous note
8016-37-3,Myrrh oil,K2.12,Balsam Oils,Ancient aromatic resin with warm balsamic character
8000-34-8,Clove oil,J2.20,Leaf Oils,Spicy warm eugenol character
8008-31-9,Mandarin oil,G2.5,Citrus Oils,Sweet citrus mandarin character
68917-33-9,Lemon oil terpenes,G2.30,Citrus Oils,Citrus terpene fraction with fresh lemon
8007-00-9,Balsam oil Peru,K2.9,Balsam Oils,Warm sweet vanilla-like balsamic note
8007-69-0,Almond oil sweet,H2.50,Seed Oils,Carrier oil with mild nutty character
8001-21-6,Sunflower oil,F2.12,Vegetable Oils,Carrier oil for fragrance dilution
8000-48-4,Eucalyptus oil,,Natural Oils,Fresh camphoraceous medicinal note
8000-41-7,Terpineol (mixed isomers),,Synthetic,Lilac pine fresh character
90-17-5,Trichloromethyl phenylcarbinyl acetate,,Synthetic,Fresh aldehydic citrus note
18479-58-8,2,4-Dimethyl-3-cyclohexene carboxaldehyde,,Synthetic,Powerful fruity cyclamen note
3681-71-8,Hexyl cinnamaldehyde (HCA),,Synthetic,Floral chamomile jasmine note
143-13-5,Nonyl acetate,,Synthetic,Fresh fruity peach note
687-47-8,Ethyl (L)-lactate,,Synthetic,Mild fruity note with creamy undertones
2623-23-6,l-Menthyl acetate,,Synthetic,Fresh minty cooling note
8002-09-3,Yarmor Pine oil synthetic,,Synthetic,Fresh pine forest character
928-97-2,trans-Hex-3-en-1-ol,,Synthetic,Fresh green leafy note
5320-75-2,Cinnamyl benzoate,,Synthetic,Sweet balsamic spicy note
2306-78-7,Nerolidyl acetate,,Synthetic,Sweet floral woody note
7070-15-7,exo-2-[(1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl)oxy]ethanol,,Synthetic,Fresh woody note
94201-73-7,Tetrahydro-4-methyl-2-phenyl-2H-pyran,,Synthetic,Fresh floral rose character
100-51-6,Benzyl alcohol,,Synthetic,Mild sweet floral note
100-52-7,Benzaldehyde,,Synthetic,Almond cherry note
122-40-7,Amyl cinnamaldehyde,,Synthetic,Sweet floral jasmine note
104-61-0,gamma-Nonalactone,,Synthetic,Creamy coconut peach note
105-95-3,Ethylene brassylate,,Synthetic,Musky amber note with good fixative
107-75-5,Hydroxycitronellal,,Synthetic,Fresh floral muguet lily note
110-41-8,2-Methylundecanal,,Synthetic,Fatty aldehydic note
111-12-6,Methyl nonyl acetaldehyde,,Synthetic,Fatty orange peel aldehydic note
118-58-1,Benzyl salicylate,,Synthetic,Faint sweet balsamic note with fixative properties
119-36-8,Methyl salicylate,,Synthetic,Wintergreen minty note
120-51-4,Benzyl benzoate,,Synthetic,Faint sweet balsamic note - solvent properties
122-78-1,Phenylacetaldehyde,,Synthetic,Hyacinth honey note with green character
123-11-5,Anisaldehyde,,Synthetic,Sweet anise note
123-35-3,beta-Myrcene,,Synthetic,Fresh woody balsamic note
125-12-2,Isobornyl acetate,,Synthetic,Fresh woody balsamic camphoraceous note
128-37-0,Butylated hydroxytoluene (BHT),,Synthetic,Antioxidant - preservative
131-57-7,Benzophenone-3,,Synthetic,UV absorber - stabilizer
134-20-3,Methyl anthranilate,,Synthetic,Grape orange blossom note
136-60-7,Butyl benzoate,,Synthetic,Fruity balsamic note
138-86-3,Limonene (racemic),,Synthetic,Fresh citrus note
139-70-8,Cuminaldehyde,,Synthetic,Spicy cumin note
140-67-0,Estragole,,Synthetic,Anise tarragon note
141-27-5,Geranyl nitrile,,Synthetic,Fresh citrus green note
142-92-7,Hexyl acetate,,Synthetic,Fruity pear apple note
151-05-3,Potassium cyanate,,Synthetic,Chemical intermediate
78-69-3,3,7-Dimethyl-3-octanol (Tetrahydrolinalool),,Synthetic,Fresh floral note
78-78-4,Isopentane,,Synthetic,Solvent - carrier
80-56-8,alpha-Pinene,,Synthetic,Fresh pine woody note
88-41-5,2-tert-Butylcyclohexyl acetate,,Synthetic,Fruity woody note
89-83-8,Thymol,,Synthetic,Spicy herbaceous thyme note
91-64-5,Coumarin,,Synthetic,Sweet hay vanilla note - classic
93-08-3,2'-Acetonaphthone,,Synthetic,Orange blossom note
93-53-8,Phenylacetaldehyde dimethyl acetal,,Synthetic,Green honey hyacinth note
93-89-0,Ethyl benzoate,,Synthetic,Fruity floral note
97-53-0,Eugenol,,Synthetic,Spicy clove note - carnation character
97-54-1,Isoeugenol,,Synthetic,Spicy clove carnation note
98-86-2,Acetophenone,,Synthetic,Floral almond note
99-49-0,Carvone,,Synthetic,Spearmint caraway note
100-42-5,Styrene,,Synthetic,Sweet balsamic note
101-48-4,1,4-Dioxacycloheptadecane-5,17-dione (Ethylene dodecanedioate),,Synthetic,Musky note
101-84-8,Diphenyl ether,,Synthetic,Geranium note
101-85-9,Phenoxyethyl isobutyrate,,Synthetic,Rose honey note
102-22-7,1,3-Diphenyl-2-propanone (Dibenzyl ketone),,Synthetic,Fruity note
103-26-4,Methyl cinnamate,,Synthetic,Fruity strawberry balsamic note
103-36-6,Ethyl cinnamate,,Synthetic,Sweet cinnamic balsamic note
103-45-7,Phenethyl acetate,,Synthetic,Rosy honey note with peachy undertones
103-54-8,Cinnamyl acetate,,Synthetic,Balsamic spicy note
103-60-6,2-Phenoxyethyl isobutyrate,,Synthetic,Rose honey note
104-46-1,Anethole,,Synthetic,Sweet anise licorice note
104-55-2,Cinnamaldehyde,,Synthetic,Spicy cinnamon note - powerful
105-13-5,para-Anisyl alcohol,,Synthetic,Sweet anisic note
105-54-4,Ethyl butyrate,,Synthetic,Fruity pineapple note
105-85-1,Citronellyl formate,,Synthetic,Rosy citrus note
105-86-2,Geranyl formate,,Synthetic,Rosy green note
106-21-8,3,7-Dimethyl-1,6-octadien-3-ol (Linalool oxide),,Synthetic,Floral woody note
106-23-0,Citronellal,,Synthetic,Fresh citrus rose note
106-25-2,Nerol,,Synthetic,Fresh rosy note
106-26-3,Neryl acetate,,Synthetic,Fresh floral note
106-27-4,Isobutyl butyrate,,Synthetic,Fruity pineapple note
107-92-6,Butyric acid,,Synthetic,Cheesy buttery note - used in traces
108-64-5,Ethyl 3-ethoxypropionate,,Synthetic,Fruity note
110-19-0,Isobutyl acetate,,Synthetic,Fruity banana note
111-13-7,2-Octanone,,Synthetic,Fresh green note
111-79-5,Methyl palmitate,,Synthetic,Waxy note
111-82-0,Methyl laurate,,Synthetic,Waxy fatty note
112-31-2,Decanal,,Synthetic,Aldehydic orange peel note
112-44-7,Undecanal,,Synthetic,Aldehydic waxy note
112-54-9,Dodecanal (Lauryl aldehyde),,Synthetic,Aldehydic soapy note
115-99-1,Linalool oxide,,Synthetic,Floral note
118-61-6,Ethyl salicylate,,Synthetic,Wintergreen note
119-61-9,Benzophenone,,Synthetic,Geranium rose note - UV filter
123-68-2,Allyl caproate,,Synthetic,Pineapple note
124-13-0,Octanal,,Synthetic,Aldehydic orange note
124-19-6,Nonanal,,Synthetic,Aldehydic waxy note
126-91-0,Primine (Micheliolide),,Synthetic,Green floral note
127-43-5,3,7-Dimethyl-7-methoxyoctan-2-one,,Synthetic,Fruity note
128-50-7,1,5,5,9-Tetramethyl-13-oxatricyclo[8.2.1.0(4,6)]tridecane,,Synthetic,Woody amber note
131-11-3,Dimethyl phthalate,,Synthetic,Slight fruity note - fixative
131-18-0,Dipentene,,Synthetic,Fresh citrus note
137-00-8,Methyl 2-nonynoate,,Synthetic,Violet note
138-22-7,n-Butyl lactate,,Synthetic,Mild buttery note
141-78-6,Ethyl acetate,,Synthetic,Fruity ethereal note - solvent
142-19-8,Allyl heptanoate,,Synthetic,Fruity pineapple note
142-83-6,2,4-Hexadienal,,Synthetic,Green fatty note
143-08-8,1-Nonanol,,Synthetic,Fatty rose note
590-00-1,Potassium sorbate,,Synthetic,Preservative
8008-52-4,Coriander oil,J2.8,Leaf Oils,Spicy woody note with citrus undertones
8014-09-3,Petitgrain oil,G2.15,Citrus Oils,Fresh woody citrus note from orange leaves
8015-73-4,Cedarwood oil Atlas,L2.5,Wood Oils,Warm woody cedar note
8000-27-9,Cedar oil,L2.3,Wood Oils,Dry woody cedar note
8000-29-1,Citronella oil,J2.10,Leaf Oils,Fresh lemony rosy note
8000-28-0,Lavender oil,J2.12,Leaf Oils,Fresh floral herbaceous lavender note
8008-26-2,Lime oil distilled,G2.35,Citrus Oils,Fresh citrus lime note
8008-51-3,Grapefruit oil,G2.25,Citrus Oils,Fresh citrus grapefruit note
8000-46-2,Geranium oil,J2.9,Leaf Oils,Rosy floral minty note
8007-02-1,Lemongrass oil,J2.11,Leaf Oils,Fresh citrus herbaceous note
8000-68-8,Juniper oil,L2.10,Wood Oils,Fresh woody balsamic note
84649-98-9,Sandalwood oil Australian,L2.20,Wood Oils,Woody creamy note - precious
8006-81-3,Bergamot oil,G2.10,Citrus Oils,Fresh citrus floral note - top ingredient
8022-96-6,Neroli oil,F2.15,Floral Oils,Delicate floral orange blossom note
8000-98-4,Chamomile oil Roman,F2.10,Floral Oils,Warm herbaceous apple note
8000-66-6,Basil oil,J2.6,Leaf Oils,Fresh green herbaceous anise note
8006-84-6,Cypress oil,L2.8,Wood Oils,Fresh woody balsamic note
8000-42-8,Caraway oil,J2.7,Leaf Oils,Spicy herbaceous note
90063-37-9,Vetiver oil,J2.18,Leaf Oils,Earthy woody note - excellent fixative
8000-74-6,Sage oil,J2.16,Leaf Oils,Fresh herbaceous camphoraceous note
8007-12-3,Fir needle oil,L2.9,Wood Oils,Fresh balsamic pine note
8000-78-0,Cassia oil,B2.5,Bark Oils,Warm spicy cinnamon note
84082-68-8,Spearmint oil,J2.13,Leaf Oils,Cool fresh spearmint note
8006-44-8,Turpentine oil,L2.25,Wood Oils,Fresh pine woody note
84929-31-7,Ylang ylang oil,F2.20,Floral Oils,Sweet exotic floral note
8007-35-0,Thyme oil,J2.14,Leaf Oils,Spicy herbaceous thyme note
89-78-1,l-Menthol,,Synthetic,Cool minty note - crystalline
470-82-6,Eucalyptol (1,8-Cineole),,Synthetic,Fresh camphoraceous note
499-75-2,Carvacrol,,Synthetic,Spicy oregano thyme note
555-16-8,4-Methoxybenzaldehyde,,Synthetic,Sweet anisic note
555-68-0,Phenylacetone,,Synthetic,Honey note
563-80-4,Methyl isopropyl ketone,,Synthetic,Ethereal note
576-26-1,2,6-Dimethylphenol,,Synthetic,Phenolic note
584-02-1,3-Pentanol,,Synthetic,Fruity note
586-62-9,Terpinolene,,Synthetic,Fresh woody note
589-18-4,4-Methylpentan-2-one,,Synthetic,Ethereal fruity note
592-20-1,2,4-Dimethylheptane,,Synthetic,Hydrocarbon note
616-38-6,Dimethyl carbonate,,Synthetic,Ethereal note - solvent
626-38-0,sec-Amyl acetate,,Synthetic,Fruity banana note
628-63-7,Amyl acetate,,Synthetic,Fruity banana pear note
646-07-1,trans-Anethole,,Synthetic,Anise licorice note
673-22-3,Furfuryl mercaptan,,Synthetic,Roasted coffee note
674-76-0,3-Methyl-2-buten-1-ol,,Synthetic,Fruity note
680-31-9,Hexamethylphosphoramide,,Synthetic,Solvent
693-54-9,Decyl aldehyde,,Synthetic,Aldehydic orange note
765-13-9,Dimethyl anthranilate,,Synthetic,Grape note
821-55-6,Nonanone,,Synthetic,Fruity note
823-76-7,2-Ethyl-5-methylpyrazine,,Synthetic,Nutty roasted note
999-97-3,Hexamethyldisilazane,,Synthetic,Chemical intermediate
1191-41-9,2-Methylpentanal,,Synthetic,Aldehydic note
1335-46-2,Methyleugenol,,Synthetic,Spicy clove carnation note
1423-46-7,Methyl 2-methyl-3-furyl disulfide,,Synthetic,Meaty note
1576-87-0,4-Pentenal,,Synthetic,Pungent note
1569-60-4,Propyl 2-methyl-3-furyl disulfide,,Synthetic,Meaty note
1674-10-8,Phenylacetic acid,,Synthetic,Honey note
1731-84-6,Methyl octanoate,,Synthetic,Waxy green note
1731-86-8,Methyl decanoate,,Synthetic,Wine fruity note
1731-88-0,Methyl dodecanoate,,Synthetic,Soapy waxy note
1906-82-7,Furfuryl propionate,,Synthetic,Fruity coffee note
2051-78-7,Allyl hexanoate,,Synthetic,Pineapple note
2053-11-4,Decanal dimethyl acetal,,Synthetic,Aldehydic note
2091-29-4,Heptyl acetate,,Synthetic,Fruity note
2142-94-1,Ethyl 2,4-hexadienoate,,Synthetic,Fruity note
2216-51-5,l-Menthone,,Synthetic,Minty note
2270-60-2,Tetrahydrolinalool,,Synthetic,Floral note
2305-05-7,Dihydrocoumarin,,Synthetic,Sweet hay note
2371-42-8,Methyl nonyl ketone,,Synthetic,Rue note
2403-88-5,3-Phenylpropionaldehyde,,Synthetic,Hyacinth note
2409-55-4,2-tert-Butyl-p-cresol,,Synthetic,Phenolic note
2497-18-9,Hexyl hexanoate,,Synthetic,Fruity wine note
2500-83-2,Phenylacetaldehyde glyceryl acetal,,Synthetic,Hyacinth note
2553-19-7,Decyl acetate,,Synthetic,Fruity note
2705-87-5,Allyl cyclohexylpropionate,,Synthetic,Pineapple note
2756-87-8,3-Hydroxy-2-pentanone,,Synthetic,Buttery note
2785-87-7,Butyl 10-undecenoate,,Synthetic,Fruity note
2835-77-0,1,3,5-Undecatriene,,Synthetic,Galbanum note
2873-97-4,Ethyl 3-hydroxybutyrate,,Synthetic,Fruity note
2883-98-9,Methyl 3-nonenoate,,Synthetic,Melon note
2937-50-0,trans-2-Hexenyl acetate,,Synthetic,Green fruity note
3021-89-4,Undecyl aldehyde,,Synthetic,Aldehydic soapy note
3031-66-1,2-Propionylpyrrole,,Synthetic,Bread note
3208-16-0,2-Methylbutyl isovalerate,,Synthetic,Fruity note
3290-92-4,Trimethylamine,,Synthetic,Fishy note - used in traces
3301-94-8,Valeraldehyde,,Synthetic,Malty note
3391-86-4,1-Octen-3-ol,,Synthetic,Mushroom note
3400-09-7,Hexyl butyrate,,Synthetic,Fruity note
3481-27-2,2-Methylbutyl acetate,,Synthetic,Fruity banana note
3681-82-1,Dihydrocitronellol,,Synthetic,Floral rose note
3724-55-8,2-Ethyl-4-methylthiazole,,Synthetic,Nutty note
3856-25-5,Methyl ethyl ketoxime,,Synthetic,Chemical note
4180-23-8,trans-Anethole,,Synthetic,Anise note
4454-05-1,2-Methylbutyl 3-methylbutyrate,,Synthetic,Fruity note
4466-24-4,Hexyl lactate,,Synthetic,Fruity note
4630-07-3,Butyl acetoacetate,,Synthetic,Fruity note
4666-84-6,2-Isopropyl-5-methylcyclohexanol,,Synthetic,Minty note
5131-66-8,1-Butoxy-2-propanol,,Synthetic,Solvent
5137-55-3,Methyltrimethoxysilane,,Synthetic,Chemical intermediate
5205-93-6,Ethyl 2-methylbutyrate,,Synthetic,Fruity apple note
5208-87-7,5-Methylfurfural,,Synthetic,Bread caramel note
5363-64-4,Allyl 2-ethylbutyrate,,Synthetic,Fruity note
5451-52-5,Decyl butyrate,,Synthetic,Fruity note
5462-06-6,Furfuryl alcohol,,Synthetic,Bread note
5471-51-2,Raspberry ketone,,Synthetic,Fruity raspberry note
5486-84-0,Acetylpyrazine,,Synthetic,Popcorn note
5532-79-0,Benzyl 2-methylbutyrate,,Synthetic,Fruity note
5577-44-6,Neryl butyrate,,Synthetic,Rosy fruity note
5779-72-6,Cyclopentadecanone,,Synthetic,Musky note
5910-85-0,Phenylacetaldehyde propylene glycol acetal,,Synthetic,Hyacinth note
5989-54-8,d-Limonene (from citrus),,Natural Extract,Fresh citrus note from natural source
6064-27-3,Phenoxyethyl acetate,,Synthetic,Honey rose note
6066-49-5,Cyclamen alcohol,,Synthetic,Floral note
6284-40-8,Isoamyl phenylacetate,,Synthetic,Honey note
6289-49-4,Verbenone,,Synthetic,Minty camphoraceous note
6413-10-1,2-Methylbutyl isobutyrate,,Synthetic,Fruity note
6485-40-1,cis-3-Hexenyl acetate,,Synthetic,Green leafy note
6728-26-3,trans-2-Hexenal,,Synthetic,Green leafy aldehydic note
7149-26-0,Dipropylene glycol,,Synthetic,Solvent - carrier
7149-29-3,Hexyl isovalerate,,Synthetic,Fruity green note
7212-44-4,Nerolidol,,Synthetic,Floral woody note
7360-45-6,2-Isobutylthiazole,,Synthetic,Green note
7396-23-8,Ethyl 2-methylpentanoate,,Synthetic,Fruity note
7452-79-1,Ethyl 2-methylbutyrate,,Synthetic,Apple note
7493-82-5,cis-Jasmone,,Synthetic,Jasmine note
7540-51-4,Hexyl 2-methylbutyrate,,Synthetic,Fruity note
7642-04-8,cis-3-Hexenol (Leaf alcohol),,Synthetic,Green leafy note
7779-54-6,2-Ethylhexyl salicylate,,Synthetic,Faint floral note - UV filter
7786-67-6,Isoamyl butyrate,,Synthetic,Fruity pear note
7779-81-9,Ethyl linalool,,Synthetic,Fresh floral note
8008-20-6,Kerosene,,Synthetic,Petroleum note - solvent
8021-29-2,Myrcene (from turpentine),,Natural Extract,Woody balsamic note
8050-15-5,Methyl abietate,,Synthetic,Woody note
8050-28-0,Hydroabietyl alcohol,,Synthetic,Woody note
8001-25-0,Olive oil,H2.40,Seed Oils,Fatty carrier oil
8001-29-4,Cottonseed oil,H2.20,Seed Oils,Carrier oil
8001-31-8,Coconut oil,F2.5,Vegetable Oils,Sweet fatty carrier oil
8002-13-9,Rapeseed oil,H2.45,Seed Oils,Carrier oil
8001-22-7,Soybean oil,H2.55,Seed Oils,Carrier oil
8002-75-3,Palm oil,F2.8,Vegetable Oils,Fatty carrier oil
8024-32-6,Corn oil,H2.25,Seed Oils,Carrier oil
8015-86-9,Carnauba wax,,Natural Wax,Waxy note - texture agent
8016-36-2,Oak moss absolute,M2.15,Moss Absolutes,Earthy woody note - classic chypre
8016-26-0,Labdanum absolute,K2.10,Balsam Oils,Amber leathery note
8023-77-6,Castor oil,H2.15,Seed Oils,Carrier oil - viscous
8024-37-1,Patchouli oil,J2.19,Leaf Oils,Earthy woody note - fixative
8000-87-9,Ylang ylang oil,F2.20,Floral Oils,Sweet exotic floral note
8015-91-6,Jasmine absolute,F2.14,Floral Absolutes,Rich floral note - precious
8007-01-0,Rose oil,F2.17,Floral Oils,Classic rose note - precious
8022-15-9,Vetiver oil,J2.18,Leaf Oils,Earthy woody smoky note
8024-09-3,Frankincense oil,K2.8,Balsam Oils,Fresh balsamic incense note
8000-94-4,Labdanum oil,K2.10,Balsam Oils,Amber note
8006-78-8,Laurel leaf oil,J2.21,Leaf Oils,Spicy eucalyptus note
8007-46-3,Nutmeg oil,A2.8,Spice Oils,Warm spicy note
8015-91-6,Jasmine absolute Grandiflorum,F2.14,Floral Absolutes,Intense floral jasmine note
8024-12-2,Benzoin absolute,K2.7,Balsam Oils,Sweet vanilla balsamic note
8002-65-1,Sandalwood oil East Indian,L2.20,Wood Oils,Creamy woody note - precious
84696-51-5,Tonka bean absolute,A2.12,Spice Absolutes,Sweet vanilla coumarin note
8000-

69-3,Cinnamon bark oil,B2.8,Bark Oils,Warm spicy cinnamon note
8013-76-1,Birch tar oil,L2.4,Wood Oils,Smoky leathery note
68917-41-9,Rose absolute,F2.17,Floral Absolutes,Intense rose note
84625-61-6,Iris absolute,F2.16,Floral Absolutes,Powdery violet orris note - precious
94266-47-4,Ambrette seed absolute,H2.5,Seed Absolutes,Musky floral note
8008-79-5,Amyris oil,L2.2,Wood Oils,Soft woody balsamic note
