cas_number,name,ifra_naturals_category,category,description
120-72-9,Indole,,Synthetic,Floral animalic note - used in traces
91-20-3,Naphthalene,,Synthetic,Mothball note - rarely used
56-81-5,Glycerin,,Synthetic,Sweet note - humectant solvent
57-10-3,Palmitic acid,,Synthetic,Waxy fatty note
64-17-5,Ethanol,,Synthetic,Alcoholic note - primary solvent
64-19-7,Acetic acid,,Synthetic,Vinegar note - used in traces
67-63-0,Isopropyl alcohol,,Synthetic,Alcoholic note - solvent
67-64-1,Acetone,,Synthetic,Ethereal note - solvent
71-23-8,1-Propanol,,Synthetic,Alcoholic note - solvent
71-36-3,n-Butanol,,Synthetic,Fusel alcoholic note
71-41-0,1-Pentanol,,Synthetic,Balsamic note
75-07-0,Acetaldehyde,,Synthetic,Pungent ethereal note - used in traces
75-18-3,Dimethyl sulfide,,Synthetic,Sulfurous note - used in traces
77-83-8,Ethyl methylphenylglycidate,,Synthetic,Fruity strawberry note
78-84-2,Isobutyraldehyde,,Synthetic,Pungent aldehydic note
78-92-2,sec-Butanol,,Synthetic,Wine note
78-93-3,Methyl ethyl ketone,,Synthetic,Ethereal note - solvent
79-09-4,Propionic acid,,Synthetic,Acidic note
79-20-9,Methyl acetate,,Synthetic,Ethereal note - solvent
79-31-2,Isobutyric acid,,Synthetic,Cheesy note - used in traces
84-66-2,Diethyl phthalate,,Synthetic,Slight note - fixative solvent
85-91-6,Dimethyl anthranilate,,Synthetic,Grape note
88-72-2,o-Nitrotoluene,,Synthetic,Almond note
89-82-7,Menthofuran,,Synthetic,Minty note
90-05-1,o-Methoxyphenol (Guaiacol),,Synthetic,Smoky phenolic note
91-22-5,Quinoline,,Synthetic,Quinoline note - rarely used
91-64-5,Coumarin,,Synthetic,Sweet hay tonka vanilla note - classic
92-52-4,Biphenyl,,Synthetic,Pleasant note - antifungal
93-04-9,2-Methoxynaphthalene,,Synthetic,Neroli orange note
93-51-6,2-Methoxyanisole,,Synthetic,Floral note
93-54-9,Phenylacetaldehyde propylene glycol acetal,,Synthetic,Hyacinth note
93-58-3,Methyl benzoate,,Synthetic,Fruity note
93-92-5,Methylbenzyl acetate,,Synthetic,Honey note
94-26-8,Butyl paraben,,Synthetic,Preservative
94-46-2,Isoamyl benzoate,,Synthetic,Fruity note
94-68-8,Ethyl vanillin,,Synthetic,Intense vanilla note - 3x stronger than vanillin
97-23-4,Dichlorophene,,Synthetic,Phenolic note - preservative
97-64-3,Ethyl lactate,,Synthetic,Fruity note
98-00-0,Furfuryl alcohol,,Synthetic,Bread note
98-01-1,Furfural,,Synthetic,Bread almond note
98-46-4,3-Nitrobenzotrifluoride,,Synthetic,Chemical intermediate
98-82-8,Cumene,,Synthetic,Gasoline note
98-83-9,alpha-Methylstyrene,,Synthetic,Plastic note
98-85-1,Methylbenzyl alcohol,,Synthetic,Hyacinth note
98-86-2,Acetophenone,,Synthetic,Almond floral note
98-92-0,Nicotinamide,,Synthetic,Vitamin B3
99-85-4,gamma-Terpinene,,Synthetic,Citrus note
99-86-5,p-Cymene,,Synthetic,Fresh citrus note
99-87-6,p-Isopropyltoluene,,Synthetic,Citrus note
99-93-4,4-Hydroxyacetophenone,,Synthetic,Hawthorn note
100-10-7,4-Dimethylaminobenzaldehyde,,Synthetic,Chemical intermediate
100-20-9,Methyl 4-chlorobenzoate,,Synthetic,Chemical intermediate
100-40-3,4-Vinylcyclohexene,,Synthetic,Rubber note
100-41-4,Ethylbenzene,,Synthetic,Gasoline note
100-47-0,Benzonitrile,,Synthetic,Almond note
100-52-7,Benzaldehyde,,Synthetic,Almond cherry note - widely used
100-66-3,Anisole,,Synthetic,Anise note
101-39-3,Methyl phenylacetate,,Synthetic,Honey note
101-41-7,Methyl phenylacetate,,Synthetic,Honey floral note
101-43-9,Cyclohexylmethyl acetate,,Synthetic,Fruity note
101-51-9,Diphenylamine,,Synthetic,Floral note - antioxidant
101-54-2,N-Phenyl-para-phenylenediamine,,Synthetic,Antioxidant
101-77-9,4,4'-Methylenedianiline,,Synthetic,Chemical intermediate
101-81-5,Diphenylmethane,,Synthetic,Geranium note
101-83-7,Dicyclohexylamine,,Synthetic,Fishy note
101-97-3,Ethyl phenylacetate,,Synthetic,Honey fruity note
102-71-6,Triethanolamine,,Synthetic,Fishy note - pH adjuster
103-09-3,2-Ethylhexyl acetate,,Synthetic,Fruity note
103-11-7,2-Ethylhexyl acrylate,,Synthetic,Acrylic note
103-23-1,Bis(2-ethylhexyl) adipate,,Synthetic,Slight note - plasticizer
103-25-3,Methyl dihydrojasmonate,,Synthetic,Jasmine note
103-28-6,Benzyl methacrylate,,Synthetic,Balsamic note
103-29-7,Dibenzyl,,Synthetic,Slight floral note
103-33-3,Azobenzene,,Synthetic,Chemical intermediate
103-50-4,Dibenzyl ether,,Synthetic,Floral note
103-71-9,Phenyl isocyanate,,Synthetic,Chemical intermediate
103-73-1,Ethyl phenyl ether (Phenetole),,Synthetic,Floral note
103-79-7,Benzyl isovalerate,,Synthetic,Fruity note
103-82-2,Phenylacetic acid,,Synthetic,Honey note
103-89-9,Acetyl methyl carbinol,,Synthetic,Buttery note
104-21-2,p-Cresyl salicylate,,Synthetic,Balsamic note
104-28-9,4-Chlorobenzyl chloride,,Synthetic,Chemical intermediate
104-50-7,gamma-Octalactone,,Synthetic,Coconut peach note
104-53-0,Cinnamyl formate,,Synthetic,Balsamic note
104-57-4,Benzyl formate,,Synthetic,Fruity note
104-61-0,gamma-Nonalactone,,Synthetic,Coconut peach note
104-62-1,2-Phenylpropionaldehyde,,Synthetic,Hyacinth note
104-63-2,Benzyl propionate,,Synthetic,Fruity note
104-67-6,gamma-Undecalactone,,Synthetic,Peach note
104-76-7,2-Ethyl-1-hexanol,,Synthetic,Citrus note
104-87-0,p-Tolualdehyde,,Synthetic,Cherry almond note
104-88-1,p-Chlorobenzaldehyde,,Synthetic,Almond note
104-93-8,p-Cresyl methyl ether (p-Methylanisole),,Synthetic,Anise note
104-94-9,p-Anisidine,,Synthetic,Chemical intermediate
105-21-5,gamma-Heptalactone,,Synthetic,Caramel note
105-30-6,2-Methylpentanol,,Synthetic,Wine note
105-34-0,Methyl cyanoacetate,,Synthetic,Chemical intermediate
105-37-3,Ethyl propionate,,Synthetic,Fruity note
105-38-4,Vinyl propionate,,Synthetic,Fruity note
105-39-5,Ethyl chloroacetate,,Synthetic,Fruity note
105-45-3,Methyl acetoacetate,,Synthetic,Fruity note
105-46-4,sec-Butyl acetate,,Synthetic,Fruity note
105-53-3,Diethyl malonate,,Synthetic,Rum note
105-66-8,Propyl butyrate,,Synthetic,Fruity note
105-67-9,2,4-Dimethylphenol,,Synthetic,Phenolic note
105-68-0,3-Methylbutyl propionate,,Synthetic,Fruity note
105-76-0,Dibutyl maleate,,Synthetic,Fruity note
105-79-3,Isobutyl isobutyrate,,Synthetic,Fruity note
106-27-4,Isobutyl butyrate,,Synthetic,Fruity pineapple note
106-28-5,Menthyl isovalerate,,Synthetic,Minty note
106-29-6,Geranyl butyrate,,Synthetic,Fruity rosy note
106-30-9,Ethyl heptanoate,,Synthetic,Fruity wine note
106-32-1,Ethyl octanoate,,Synthetic,Fruity wine note
106-33-2,Ethyl laurate,,Synthetic,Waxy fatty note
106-36-5,Propyl butyrate,,Synthetic,Rum fruity note
106-63-8,Isobutyl acrylate,,Synthetic,Acrylic note
106-68-3,3-Octanone,,Synthetic,Fruity note
106-70-7,Methyl hexanoate,,Synthetic,Fruity pineapple note
106-72-9,2,6-Dimethyl-5-heptenal,,Synthetic,Melon note
106-73-0,Methyl heptanoate,,Synthetic,Fruity note
107-70-0,4-Methoxy-4-methyl-2-pentanone,,Synthetic,Floral note
107-83-5,2-Methylpentane,,Synthetic,Hydrocarbon note
107-87-9,2-Pentanone,,Synthetic,Ethereal note
107-88-0,1,3-Butanediol,,Synthetic,Sweet note - solvent
108-05-4,Vinyl acetate,,Synthetic,Ethereal note
108-10-1,Methyl isobutyl ketone,,Synthetic,Ethereal note - solvent
108-20-3,Diisopropyl ether,,Synthetic,Ethereal note - solvent
108-21-4,Isopropyl acetate,,Synthetic,Fruity note - solvent
108-22-5,Isopropenyl acetate,,Synthetic,Fruity note
108-24-7,Acetic anhydride,,Synthetic,Pungent note - reagent
108-30-5,Succinic anhydride,,Synthetic,Chemical intermediate
108-32-7,Propylene carbonate,,Synthetic,Solvent
108-38-3,m-Xylene,,Synthetic,Aromatic note - solvent
108-39-4,m-Cresol,,Synthetic,Phenolic note
108-43-0,m-Chlorophenol,,Synthetic,Phenolic note
108-44-1,m-Toluidine,,Synthetic,Chemical intermediate
108-46-3,Resorcinol,,Synthetic,Phenolic note
108-48-5,2,6-Lutidine,,Synthetic,Chemical intermediate
108-62-3,Metaldehyde,,Synthetic,Chemical note
108-65-6,2-Methoxy-1-methylethyl acetate,,Synthetic,Fruity note - solvent
108-67-8,1,3,5-Trimethylbenzene,,Synthetic,Aromatic note
108-77-0,Cyanuric chloride,,Synthetic,Chemical intermediate
108-83-8,Diisobutyl ketone,,Synthetic,Camphoraceous note
108-84-9,sec-Hexyl acetate,,Synthetic,Fruity note
108-86-1,Bromobenzene,,Synthetic,Aromatic note
108-87-2,Methylcyclohexane,,Synthetic,Hydrocarbon note - solvent
108-88-3,Toluene,,Synthetic,Aromatic note - solvent
108-90-7,Chlorobenzene,,Synthetic,Almond note
108-91-8,Cyclohexylamine,,Synthetic,Fishy note
108-93-0,Cyclohexanol,,Synthetic,Camphoraceous note
108-94-1,Cyclohexanone,,Synthetic,Minty note - solvent
108-95-2,Phenol,,Synthetic,Phenolic medicinal note
109-08-0,2-Methylpyrazine,,Synthetic,Nutty note
109-09-1,2-Chloropyridine,,Synthetic,Chemical intermediate
109-19-3,Butyl isovalerate,,Synthetic,Fruity note
109-21-7,Butyl butyrate,,Synthetic,Fruity pineapple note
109-43-3,Dibutyl sebacate,,Synthetic,Fruity note - plasticizer
109-52-4,Valeric acid,,Synthetic,Cheesy note - used in traces
109-60-4,Propyl acetate,,Synthetic,Fruity pear note - solvent
109-66-0,Pentane,,Synthetic,Hydrocarbon note - solvent
109-73-9,n-Butylamine,,Synthetic,Fishy note
109-74-0,Butyronitrile,,Synthetic,Ethereal note
109-86-4,2-Methoxyethanol,,Synthetic,Ethereal note - solvent
109-87-5,Methylal,,Synthetic,Ethereal note - solvent
109-89-7,Diethylamine,,Synthetic,Fishy note
109-92-2,Ethyl vinyl ether,,Synthetic,Ethereal note
109-94-4,Ethyl formate,,Synthetic,Fruity rum note - solvent
109-99-9,Tetrahydrofuran,,Synthetic,Ethereal note - solvent
110-02-1,Thiophene,,Synthetic,Sulfurous note
110-05-4,Di-tert-butyl peroxide,,Synthetic,Chemical intermediate
110-12-3,5-Methyl-2-hexanone,,Synthetic,Fruity note
110-15-6,Succinic acid,,Synthetic,Acidic note
110-16-7,Maleic acid,,Synthetic,Acidic note
110-19-0,Isobutyl acetate,,Synthetic,Fruity banana note
110-43-0,2-Heptanone,,Synthetic,Fruity blue cheese note
110-44-1,Sorbic acid,,Synthetic,Acidic note - preservative
110-54-3,n-Hexane,,Synthetic,Hydrocarbon note - solvent
110-62-3,Valeraldehyde,,Synthetic,Fermented note
110-63-4,1,4-Butanediol,,Synthetic,Sweet note - solvent
110-71-4,1,2-Dimethoxyethane,,Synthetic,Ethereal note - solvent
110-80-5,2-Ethoxyethanol,,Synthetic,Ethereal note - solvent
110-82-7,Cyclohexane,,Synthetic,Hydrocarbon note - solvent
110-83-8,Cyclohexene,,Synthetic,Hydrocarbon note
110-85-0,Piperazine,,Synthetic,Ammoniacal note
110-86-1,Pyridine,,Synthetic,Pungent note - solvent
110-89-4,Piperidine,,Synthetic,Peppery note
110-91-8,Morpholine,,Synthetic,Fishy note - solvent
111-14-8,Heptanoic acid,,Synthetic,Rancid cheesy note
111-27-3,1-Hexanol,,Synthetic,Ethereal resinous herbaceous note
111-40-0,Diethylenetriamine,,Synthetic,Ammoniacal note
111-42-2,Diethanolamine,,Synthetic,Ammoniacal note - pH adjuster
111-43-3,Dipropyl ether,,Synthetic,Ethereal note
111-65-9,Octane,,Synthetic,Hydrocarbon note
111-66-0,1-Octene,,Synthetic,Hydrocarbon note
111-70-6,1-Heptanol,,Synthetic,Citrus green note
111-71-7,Heptanal,,Synthetic,Aldehydic fatty note
111-76-2,2-Butoxyethanol,,Synthetic,Ethereal note - solvent
111-77-3,Diethylene glycol monomethyl ether,,Synthetic,Mild note - solvent
111-84-2,Nonane,,Synthetic,Hydrocarbon note
111-85-3,1-Chlorooctane,,Synthetic,Chemical intermediate
111-87-5,1-Octanol,,Synthetic,Fatty waxy note
111-90-0,Diethylene glycol monoethyl ether,,Synthetic,Mild note - solvent
111-96-6,Diethylene glycol dimethyl ether,,Synthetic,Ethereal note - solvent
112-05-0,Pelargonic acid,,Synthetic,Fatty rancid note
112-07-2,2-Butoxyethyl acetate,,Synthetic,Fruity note - solvent
112-12-9,2-Undecanone,,Synthetic,Fruity note
112-14-1,Ethyl octanoate,,Synthetic,Fruity wine note
112-15-2,Diethylene glycol monoethyl ether acetate,,Synthetic,Fruity note - solvent
112-17-4,Decyl acetate,,Synthetic,Fruity waxy note
112-30-1,1-Decanol,,Synthetic,Fatty waxy note
112-34-5,Diethylene glycol monobutyl ether,,Synthetic,Mild note - solvent
112-36-7,Diethylene glycol diethyl ether,,Synthetic,Ethereal note - solvent
112-40-3,Dodecane,,Synthetic,Hydrocarbon note
112-49-2,Triethylene glycol dimethyl ether,,Synthetic,Ethereal note - solvent
112-53-8,1-Dodecanol,,Synthetic,Fatty note
112-57-2,Tetraethylenepentamine,,Synthetic,Ammoniacal note
112-62-9,Methyl oleate,,Synthetic,Fatty note
112-72-1,1-Tetradecanol,,Synthetic,Waxy note
112-80-1,Oleic acid,,Synthetic,Fatty note
112-92-5,1-Octadecanol,,Synthetic,Waxy note
115-07-1,Propylene,,Synthetic,Hydrocarbon note
115-10-6,Dimethyl ether,,Synthetic,Ethereal note
115-11-7,Isobutylene,,Synthetic,Hydrocarbon note
115-18-4,2-Methyl-3-buten-2-ol,,Synthetic,Camphoraceous note
115-25-3,Octafluorocyclobutane,,Synthetic,Chemical intermediate
115-77-5,Pentaerythritol,,Synthetic,Chemical intermediate
115-95-7,Linalyl acetate,,Synthetic,Bergamot lavender note - top ingredient
116-09-6,Hydroxycitronellol,,Synthetic,Floral muguet note
117-81-7,Bis(2-ethylhexyl) phthalate,,Synthetic,Plasticizer - slight note
117-84-0,Di-n-octyl phthalate,,Synthetic,Plasticizer - slight note
118-55-8,Phenyl salicylate,,Synthetic,Faint balsamic note - UV filter
118-58-1,Benzyl salicylate,,Synthetic,Faint sweet balsamic note - fixative
118-71-8,Maltol,,Synthetic,Sweet caramel note
118-90-1,o-Toluidine,,Synthetic,Chemical intermediate
118-92-3,Anthranilic acid,,Synthetic,Grape note
118-96-7,2,4,6-Trinitrotoluene (TNT),,Synthetic,Explosive - not for fragrance
119-36-8,Methyl salicylate,,Synthetic,Wintergreen note
119-61-9,Benzophenone,,Synthetic,Geranium rose note - UV filter
119-65-3,Isoquinoline,,Synthetic,Chemical intermediate
120-12-7,Anthracene,,Synthetic,Chemical intermediate
120-14-9,Veratrole,,Synthetic,Anise note
120-47-8,Ethyl paraben,,Synthetic,Preservative
120-61-6,Dimethyl terephthalate,,Synthetic,Chemical intermediate
120-92-3,Cyclopentanone,,Synthetic,Minty note
121-79-9,Propyl gallate,,Synthetic,Antioxidant
121-91-5,Isophthalic acid,,Synthetic,Chemical intermediate
122-03-2,Cuminaldehyde,,Synthetic,Cumin spicy note
122-57-6,Phenylacetaldehyde dimethyl acetal,,Synthetic,Hyacinth note
122-59-8,Phenoxyacetic acid,,Synthetic,Honey note
122-60-1,Phenyl glycidyl ether,,Synthetic,Chemical intermediate
122-63-4,Benzyl propionate,,Synthetic,Fruity note
122-97-4,Phenyl propanol,,Synthetic,Hyacinth note
122-99-6,Phenoxyethanol,,Synthetic,Rosy note - preservative solvent
123-07-9,4-Ethylphenol,,Synthetic,Phenolic note
123-08-0,p-Hydroxybenzaldehyde,,Synthetic,Almond note
123-19-3,4-Heptanone,,Synthetic,Fruity note
123-25-1,Diethyl succinate,,Synthetic,Fruity wine note
123-29-5,Ethyl nonanoate,,Synthetic,Waxy note
123-31-9,Hydroquinone,,Synthetic,Chemical intermediate - antioxidant
123-32-0,2,5-Dimethylpyrazine,,Synthetic,Nutty note
123-42-2,Diacetone alcohol,,Synthetic,Ethereal note - solvent
123-51-3,Isoamyl alcohol,,Synthetic,Fusel whiskey note
123-63-7,Paraldehyde,,Synthetic,Ethereal note
123-66-0,Ethyl caproate (Ethyl hexanoate),,Synthetic,Fruity wine pineapple note
123-68-2,Allyl hexanoate,,Synthetic,Pineapple note
123-72-8,Butyraldehyde,,Synthetic,Pungent cocoa note
123-73-9,Crotonaldehyde,,Synthetic,Pungent note
123-75-1,Pyrrolidine,,Synthetic,Ammoniacal note
123-77-3,Azodicarbonamide,,Synthetic,Chemical intermediate
123-86-4,Butyl acetate,,Synthetic,Fruity note - solvent
123-91-1,1,4-Dioxane,,Synthetic,Ethereal note - solvent
123-92-2,Isoamyl acetate,,Synthetic,Banana pear note
123-95-5,Butyl stearate,,Synthetic,Waxy note
124-04-9,Adipic acid,,Synthetic,Acidic note
124-07-2,Octanoic acid (Caprylic acid),,Synthetic,Fatty rancid note
124-10-7,Methyl myristate,,Synthetic,Waxy note
124-17-4,Diethylene glycol diethyl ether acetate,,Synthetic,Fruity note
124-18-5,Decane,,Synthetic,Hydrocarbon note
124-38-9,Carbon dioxide,,Synthetic,Propellant
124-40-3,Dimethylamine,,Synthetic,Fishy note
124-68-5,2-Amino-2-methyl-1-propanol,,Synthetic,Ammoniacal note - pH adjuster
126-14-7,Sucrose octaacetate,,Synthetic,Denaturant
126-92-1,Sodium octyl sulfate,,Synthetic,Surfactant
127-00-4,1-Chloro-2-propanol,,Synthetic,Chemical intermediate
127-19-5,N,N-Dimethylacetamide,,Synthetic,Fishy note - solvent
127-91-3,beta-Pinene,,Synthetic,Woody pine note
128-37-0,Butylated hydroxytoluene (BHT),,Synthetic,Phenolic note - antioxidant
131-11-3,Dimethyl phthalate,,Synthetic,Fruity note - fixative
131-17-9,Diallyl phthalate,,Synthetic,Chemical intermediate
131-18-0,Dipentene,,Synthetic,Citrus note
131-52-2,Sodium pentachlorophenate,,Synthetic,Phenolic note - biocide
131-57-7,Benzophenone-3 (Oxybenzone),,Synthetic,Faint note - UV filter
132-27-4,Sodium o-phenylphenate,,Synthetic,Phenolic note - preservative
133-06-2,Captan,,Synthetic,Fungicide
133-07-3,Folpet,,Synthetic,Fungicide
134-03-2,Sodium ascorbate,,Synthetic,Vitamin C - antioxidant
134-20-3,Methyl anthranilate,,Synthetic,Grape orange blossom note
135-19-3,beta-Naphthol,,Synthetic,Phenolic note
136-23-2,Zinc bis(dibutyldithiocarbamate),,Synthetic,Chemical intermediate
136-52-7,Ethyl 2-methyl-4-pentenoate,,Synthetic,Fruity note
136-60-7,Butyl benzoate,,Synthetic,Fruity balsamic note
137-26-8,Tetramethylthiuram disulfide,,Synthetic,Chemical intermediate
137-32-6,2-Methylbutanol,,Synthetic,Fusel note
138-86-3,Limonene (racemic),,Synthetic,Fresh citrus note
139-07-1,Benzyl dodecanoate,,Synthetic,Waxy note
139-12-8,Aluminum stearate,,Synthetic,Waxy note - thickener
139-40-2,Propazine,,Synthetic,Chemical intermediate
139-70-8,Estragole (para-Allylanisole),,Synthetic,Anise tarragon note
140-29-4,Phenylacetonitrile,,Synthetic,Hyacinth note
140-67-0,Estragole,,Synthetic,Anise note
140-88-5,Ethyl acrylate,,Synthetic,Fruity acrylic note
141-27-5,Geranyl nitrile,,Synthetic,Fresh green citrus note
141-32-2,Butyl acrylate,,Synthetic,Acrylic note
141-43-5,Ethanolamine,,Synthetic,Ammoniacal note - pH adjuster
141-52-6,Sodium ethoxide,,Synthetic,Chemical intermediate
141-78-6,Ethyl acetate,,Synthetic,Fruity ethereal note - solvent
141-79-7,Mesityl oxide,,Synthetic,Peppermint note
141-82-2,Malonic acid,,Synthetic,Acidic note
141-97-9,Ethyl acetoacetate,,Synthetic,Fruity note
142-16-5,Bis(2-ethylhexyl) maleate,,Synthetic,Plasticizer
142-29-0,Cyclopentene,,Synthetic,Hydrocarbon note
142-62-1,Hexanoic acid (Caproic acid),,Synthetic,Fatty goaty note
142-71-2,Copper acetate,,Synthetic,Chemical intermediate
142-82-5,Heptane,,Synthetic,Hydrocarbon note - solvent
142-83-6,2,4-Hexadienal,,Synthetic,Green fatty note
142-84-7,Dipropylamine,,Synthetic,Fishy note
142-92-7,Hexyl acetate,,Synthetic,Fruity pear apple note
143-07-7,Lauric acid,,Synthetic,Fatty soapy note
143-08-8,1-Nonanol,,Synthetic,Fatty rose note
143-13-5,Nonyl acetate,,Synthetic,Fruity peach note
143-15-7,Lauryl acetate,,Synthetic,Waxy note
143-18-0,Potassium oleate,,Synthetic,Soapy note
143-24-8,Triethylene glycol diacetate,,Synthetic,Fruity note
143-28-2,Oleyl alcohol,,Synthetic,Waxy note
144-62-7,Oxalic acid,,Synthetic,Acidic note
544-63-8,Myristic acid,,Synthetic,Waxy fatty note
150-76-5,4-Methoxyphenol,,Synthetic,Phenolic note
151-67-7,Halothane,,Synthetic,Pharmaceutical
156-87-6,3-Aminopropanol,,Synthetic,Ammoniacal note

